	0	1	2	3	4	5	6	7	8	9	10	11
325676										ʁekypɛʁə,None		
325862										ʁeãpjɛtə,None		
325879										ʁeãpusjɛʁə,None		
325969										ʁeãfjɛvʁə,None		
326133										ʁeɛspɛʁə,None		
326157										ʁeɛgzaʒɛʁə,None		
326169										ʁeɛkskʁɛtə,None		
326311										ʁefʁiʒɛʁə,None		
326317										ʁefʁɛnə,None		
326356										ʁefɛʁə,None		
326467										ʁɛglə,None		
326486										ʁɛɲə,None		
326542										ʁeʒenɛʁə,None		
326591										ʁeidʁoʒɛnə,None		
326596										ʁeipɔtɛkə,None		
326655										ʁeɛ̃pʁɛɲə,None		
326658										ʁeɛ̃pɛtʁə,None		
326662										ʁeɛ̃kaʁsɛʁə,None		
326667										ʁeɛ̃sinɛʁə,None		
326714										ʁeɛ̃fɛʁə,None		
326718										ʁeɛ̃ʒɛʁə,None		
326735										ʁeɛ̃kjɛtə,None		
326770										ʁeɛ̃sɛʁə,None		
326781										ʁeɛ̃tɛʁfɛʁə,None		
326792										ʁeɛ̃tɛʁpʁɛtə,None		
326819										ʁeɛ̃tɛgʁə,None		
326859										ʁeitɛʁə,None		
326953										ʁemynɛʁə,None		
326973										ʁemɛʁə,None		
326994										ʁenymɛʁə,None		
326999										ʁeɔblitɛʁə,None		
327006										ʁeɔbsɛdə,None		
327007										ʁeɔbtãpɛʁə,None		
327053										ʁeɔpɛʁə,None		
327107										ʁeɔksiʒɛnə,None		
327178										ʁeputɛgə,None		
327250										ʁepɛtə,None		
327467										ʁesɛkə,None		
327629										ʁetʁosɛdə,None		
327712										ʁeylsɛʁə,None		
327784										ʁevɛʁbɛʁə,None		
327878										ʁevɛlə,None		
327896										ʁevɛʁə,None		
327918										ʁeeʃɛl,ʁeeʃɛlə,None		
327941	ʁekʁj,None			ʁekʁj,None		ʁekʁj,None,ʁekʁj				None,ʁekʁi		
327948										ʁeekʁɛmə,None		
328016										None		
328025										ʁeenymɛʁə,None		
337657										səkʁɛtə,None		
338124										səmipʁɔtɛʒ,səmipʁɔtɛʒə,None		
338579				sɛj,None								
339072										sɛʁpɛʒə,sɛʁpɛʒ,None		
340207										sidɛʁə,None		
341208										siʁɛnə,None		
341423										sjɛʒ,sjɛʒə,None		
344052										suzafʁɛtə,None		
344149										sukɔ̃sɛdə,None		
344198										sudelɛgə,None		
344245										sufʁɛtə,None		
344276										suzɛ̃tɛʁpʁɛtə,None		
344363										supɔ̃dɛʁə,None		
344414										suʁemynɛʁə,None		
345121										sfasɛlə,None		
347365										stɛʁə,None		
347570										sybdelɛgə,None		
347962										syksɛdə,None		
348200										sygʒɛʁə,None		
348754										sypɛʁsɛdə,None		
349430										syʁʒenɛʁə,None		
349443										syʁipɔtɛkə,None		
349492										syʁɛ̃tɛʁpʁɛtə,None		
349640										syʁɔksiʒɛnə,None		
349690										syʁpɔ̃dɛʁə,None		
349722										syʁpʁɔtɛʒ,syʁpʁɔtɛʒə,None		
349768										syʁʁeʒenɛʁə,None		
