	0	1	2	3	4	5	6	7	8	9	10	11
147895	ʃapl,ʃapəl			ʃapl,ʃapəl		ʃapl,ʃapəl		ʃapl,ʃapəl		ʃapɛlə,ʃapɛl,ʃaplɛl,ʃaplɛlə	ʃapəla,ʃapla	ʃaple,ʃapəle
148123										ʃaʁbujə,ʃaʁbuj		
148885										ʃasuj,ʃasujə		
149035										ʃatujə,ʃatuj		
149065	tʃat,ʃat	tʃat,ʃat	tʃat,ʃat	tʃat,ʃat	tʃat,ʃat	tʃat,ʃat	tʃat,ʃat	tʃat,ʃat		ʃatə,tʃatə	tʃata,ʃata	tʃate,ʃate
149916										ʃənaj,ʃənajə		
149972	ʃnij,ʃənij	ʃnij,ʃənij	ʃnij,ʃənij	ʃnij,ʃənij	ʃnij,ʃənij	ʃnij,ʃənij	ʃnij,ʃənij	ʃnij,ʃənij		ʃnij,ʃənij,ʃnijə,ʃənijə	ʃnija,ʃənija	ʃnije,ʃənije
150309		,ʃəv	,ʃəv		,ʃəv		,ʃəv					
150349										ʃəvijə,ʃəvij		
150396	ʃəvʁət,ʃəvʁt			ʃəvʁət,ʃəvʁt		ʃəvʁət,ʃəvʁt		ʃəvʁət,ʃəvʁt		ʃəvʁlɛtə,ʃəvʁlɛt,ʃəvʁɛt,ʃəvʁɛtə	ʃəvʁta,ʃəvʁəta	ʃəvʁte,ʃəvʁəte
150633										ʃikaj,ʃikajə		
151112	ʃikt,ʃikət			ʃikt,ʃikət		ʃikt,ʃikət		ʃikt,ʃikət		ʃiklɛtə,ʃikɛt,ʃikɛtə,ʃiklɛt	ʃikta,ʃikəta	ʃikəte,ʃikte
151512										ʃɔkajə,ʃɔkaj		
151547										ʃwa,ʃɛʁ		
151902										ʃuj,ʃujə		
