Phoneme	Affix	rid
butikjɛʁ	ije	r185902
butɔnø	øz	r88420
butɔnø	øz	r88420
bʁãʃje	jɛʁ	r186838
bʁãʃje	jɛʁ	r186838
ɑ̃bʁasøz	œʁ	r87410
ɑ̃bʁasøz	œʁ	r87410
ʁaʃjɛn	̃	r134624
ʁaʃjɛn	̃	r134624
bʁiktjɛʁ	ije	r182326
bʁiktjɛʁ	ije	r182326
ɛzɔsjɛ̃ɛ̃	jɛ	r221396
ɛzɔsjɛ̃ɛ̃n	jɛ	r221396
ɛzɔsjɛ̃ɛ̃n	jɛ	r221396
ɛzɔsjɛ̃ɛ̃	jɛ	r221396
ʁuljɛʁ	ije	r182938
ʁuljɛʁ	ije	r182938
debʁujaʁd	aʁ	r85182
debʁujaʁd	aʁ	r85182
bʁyinø	øz	r88534
bʁyinø	øz	r88534
bʁymo	al	r83084
bʁymø	øz	r87514
bʁymø	øz	r87514
bydʒɛtizasjɔ̃	jɔ	r14898
bydʒɛtizasjɔ̃	jɔ	r14898
